date;sun_asc;sun_dec;sun_dis;moon_asc;moon_dec;moon_dis;mercury_asc;mercury_dec;mercury_dis;venus_asc;venus_dec;venus_dis;mars_asc;mars_dec;mars_dis;jupiter_asc;jupiter_dec;jupiter_dis;saturn_asc;saturn_dec;saturn_dis;uranus_asc;uranus_dec;uranus_dis;neptune_asc;neptune_dec;neptune_dis;pluto_asc;pluto_dec;pluto_dis
2012-01-01;281.38555021660426;-23.023868435723674;0.9833193296777111;10.229760496902376;9.387047586244108;0.002696868808968605;259.7345399948035;-22.250274050363846;1.1903937571221568;317.4606481373955;-18.248341098011323;1.289457979632013;172.1934167607057;6.585022450221312;1.0350800019803084;28.768341254433185;10.475505039928123;4.550453429865216;207.1832857939746;-8.611978022892412;9.948165844758183;1.0700754989922947;-0.3238808502300439;20.217126197229774;331.23396987021647;-12.366829786547205;30.64580075207204;277.7640971565341;-19.323252599369564;33.1337943510063
2012-01-02;282.48885399797786;-22.94003529591494;0.9833023734061462;21.618969157712538;13.343053566498945;0.0027041916035246906;261.1886192067824;-22.47650675860452;1.2058602923955672;318.68962578874067;-17.877296624216157;1.2838745876353088;172.419775602079;6.518485631838367;1.0261942161804911;28.789969313893863;10.48894100445746;4.565638392711247;207.2427299103266;-8.629984051121832;9.932296346425003;1.0875304243099924;-0.3156004072082798;20.23411542459484;331.26058488949974;-12.357090898165021;30.6586652018303;277.80186071902693;-19.32281399152444;33.13323749868977
2012-01-03;283.59068056280734;-22.84859478309797;0.9832908121060626;33.345453503906334;16.77293240339272;0.002702905971373002;262.666836948999;-22.688977612772113;1.2207120304288115;319.9124928767245;-17.498230154766755;1.2782611741914411;172.63820379791173;6.455448904608507;1.0173460909764367;28.814880091924817;10.503563831578223;4.580910585198334;207.30078661837683;-8.647423193820485;9.916347477980953;1.1057441975785638;-0.30699478560642024;20.25104857190629;331.2875877581306;-12.3472109007555;30.671328831178478;277.839592272093;-19.32233067172527;33.13238904461916
2012-01-04;284.69091033417556;-22.749592780729586;0.9832848662325404;45.52579619495548;19.533338173062397;0.0026936578796061877;264.1672264682255;-22.886699289198393;1.2349569052733722;321.12925765959017;-17.111358725291588;1.272617953239735;172.84855558715347;6.395979526007086;1.0085378547046564;28.843058612988113;10.519366432009726;4.596265264146217;207.35744404504305;-8.664293533269237;9.90032358089554;1.1247130977697217;-0.29806569557074014;20.267920758062598;331.3149732426362;-12.337192428333083;30.683788246226456;277.87728409697786;-19.321804805994674;33.13124965196941
2012-01-05;285.78942731336554;-22.643078516356386;0.9832847421969942;58.20877801746502;21.473307087593874;0.002677640489794603;265.68802783357046;-23.068786267514003;1.2486034998312872;322.3399374584109;-16.71690044046621;1.2669451456491516;173.05068053877707;6.340146053791516;0.9997717531155094;28.874487498277116;10.536340890907445;4.611697761218027;207.4126893278282;-8.68059281349997;9.884228986033367;1.1444320249997342;-0.28881542334489985;20.28472718009698;331.34273483148104;-12.327038629175535;30.69604014555325;277.91492745170984;-19.321238799271068;33.129820050905174
2012-01-06;286.88611932380127;-22.529104448199927;0.9832906323558467;71.35699004844963;22.447596913839647;0.0026564569872079514;267.2276598384662;-23.234441578768518;1.2616607694069555;323.5445583081791;-16.31507425352617;1.261242982145478;173.24442250698516;6.288018602597027;0.9910500551303228;28.90914711834356;10.554478410043396;4.6272034913027955;207.46650839231822;-8.696318280123373;9.86806800629891;1.164894423152059;-0.27924687108816676;20.301463112077325;331.3708645937885;-12.31675312683687;30.708081309266138;277.95251227742375;-19.320635045436127;33.12810101979194
2012-01-07;287.98087846424977;-22.40772576919532;0.9833027040711486;84.84438515276959;22.340606672515587;0.0026319502842224417;268.78469580503804;-23.382945067796747;1.2741378035485436;324.7431549773982;-15.906099380272304;1.255511698903047;173.42961990978333;6.239668609997047;0.9823750522989411;28.947015528891587;10.573769142407356;4.642777950926402;207.51888594488486;-8.711466568667214;9.85184493839276;1.1860921779965325;-0.26936361175271967;20.318123906207255;331.39935303795676;-12.30633995021796;30.71990860259364;277.9900270182869;-19.31999569696828;33.12609339045933
2012-01-08;289.0736010437868;-22.279000139162502;0.9833210934928076;98.48240120699957;21.094322456931987;0.0026060090919428898;270.3578425074475;-23.51364336121492;1.2860436367728276;325.9357707041622;-15.490194986605898;1.2497515303891207;173.6061049867916;6.195169090968419;0.9737490694663;28.988068942605036;10.594202209201622;4.658416722604192;207.56980555077553;-8.726033571149868;9.835564059442504;1.208015807037737;-0.2591698107064595;20.334704986741134;331.42818922277485;-12.295803326085604;30.73151896029372;278.02745871484956;-19.319322361653757;33.123798028194564
2012-01-09;290.1641881523747;-22.142987307528006;0.9833458943948494;112.07296133960493;18.72913289692643;0.0025803692463072206;271.94592261592027;-23.625941180939606;1.2973870865186417;327.12245760363254;-15.067579658297193;1.2439626998366895;173.77370378253642;6.154594462819677;0.9651744765891317;29.03228256503019;10.615765820108988;4.674115473547986;207.61925015460136;-8.740014477843443;9.81922962898028;1.2306550347146588;-0.2486699880042787;20.351201841360663;331.45736127678646;-12.285147326498535;30.74290937259441;278.0647935780398;-19.318615779351955;33.121215818210075
2012-01-10;291.2525464801572;-21.99974885170191;0.9833771464357339;125.46742982348235;15.34831180597053;0.0025564391671135302;273.5478600642503;-23.719293982147864;1.3081766182910053;328.30327745838025;-14.638470870320965;1.238145406696485;173.9322366878459;6.118020099528478;0.9566537056357876;29.07963189150909;10.638447629087333;4.689869948823129;207.667203038325;-8.753404056434388;9.802845896443916;1.2539998173284752;-0.23786858542442926;20.367610007038802;331.48685740993017;-12.274375415014184;30.754076867281317;278.1020180898302;-19.317875608472523;33.11834765298098
2012-01-11;292.33858912912035;-21.84934817989147;0.9834148248734098;138.6057169253795;11.125674344894586;0.0025351834747287002;275.1626677795861;-23.793201870671627;1.3184202345963538;329.47830260759076;-14.203084604818468;1.2322998124820823;174.08151949084038;6.085521657395794;0.9481892718787175;29.130094191692127;10.662235304136335;4.70567595790087;207.71364899243653;-8.76619715815621;9.786417115210082;1.278041598483674;-0.2267694296886052;20.383925050703006;331.51666721791867;-12.26349004060807;30.765018489627806;278.13912038727733;-19.317100474020506;33.11519442318069
2012-01-12;293.42223599993207;-21.691850876292797;0.9834588339158696;151.52448666245164;6.284375450865615;0.002517093844252042;276.78943707958837;-23.847204692306345;1.3281253850795354;330.6476164704415;-13.761635259257426;1.2264260268303997;174.22136466804875;6.057174305650884;0.9397837975019709;29.183649706617643;10.687117164338215;4.721529355142861;207.7585752808441;-8.778389315686786;9.769947562532533;1.3027743709259112;-0.21537527314677907;20.400142546658504;331.54678284817174;-12.252492456995752;30.775731283065024;278.17609145174845;-19.316288342812456;33.11175701477508
